"filename", "language", "JavaScript", "Vue.js", "SCSS", "comment", "blank", "total"
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\App.vue", "Vue.js", 0, 72, 0, 5, 5, 82
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\api\auth.js", "JavaScript", 41, 0, 0, 12, 5, 58
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\api\post.js", "JavaScript", 76, 0, 0, 22, 9, 107
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\api\tags.js", "JavaScript", 24, 0, 0, 6, 3, 33
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\api\user.js", "JavaScript", 154, 0, 0, 48, 9, 211
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\assets\css\global.scss", "SCSS", 0, 0, 97, 2, 10, 109
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\ChatRoom.vue", "Vue.js", 0, 271, 0, 2, 8, 281
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\CommentCard copy.vue", "Vue.js", 0, 64, 0, 0, 3, 67
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\CommentCard.vue", "Vue.js", 0, 426, 0, 32, 5, 463
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\CommentMessage.vue", "Vue.js", 0, 105, 0, 0, 6, 111
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\EditButton.vue", "Vue.js", 0, 39, 0, 0, 3, 42
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\FollowCard.vue", "Vue.js", 0, 66, 0, 0, 8, 74
"c:\Users\86191\Desktop\FrontEnd\Vue\project\DHUExchangeStuff\src\components\FollowMessage.vue", "Vue.js", 0, 94, 0, 0, 6, 100
